Location,Score,TimeFrame,DataFormat,Data
Colorado,Math,2008,Percent,0.469
Colorado,Math,2009,Percent,0.499
Colorado,Math,2010,Percent,0.51
Colorado,Reading,2008,Percent,0.703
Colorado,Reading,2009,Percent,0.726
Colorado,Reading,2010,Percent,0.679
Colorado,Writing,2008,Percent,0.529
Colorado,Writing,2009,Percent,0.528
Colorado,Writing,2010,Percent,0.549
Colorado,Reading,2011,Percent,0.67
Colorado,Math,2011,Percent,0.513
Colorado,Math,2012,Percent,0.515
Colorado,Writing,2011,Percent,0.543
Colorado,Writing,2012,Percent,0.548
Colorado,Reading,2012,Percent,0.671
Colorado,Math,2013,Percent,0.51482
Colorado,Math,2014,Percent,0.52385
Colorado,Reading,2013,Percent,0.66888
Colorado,Reading,2014,Percent,0.66351
Colorado,Writing,2013,Percent,0.55788
Colorado,Writing,2014,Percent,0.56183
ACADEMY 20,Math,2008,Percent,0.64
ACADEMY 20,Math,2009,Percent,0.656
ACADEMY 20,Math,2010,Percent,0.672
ACADEMY 20,Reading,2008,Percent,0.843
ACADEMY 20,Reading,2009,Percent,0.825
ACADEMY 20,Reading,2010,Percent,0.863
ACADEMY 20,Writing,2008,Percent,0.734
ACADEMY 20,Writing,2009,Percent,0.701
ACADEMY 20,Writing,2010,Percent,0.754
ACADEMY 20,Reading,2011,Percent,0.83221
ACADEMY 20,Math,2011,Percent,0.65339
ACADEMY 20,Math,2012,Percent,0.68197
ACADEMY 20,Writing,2011,Percent,0.74579
ACADEMY 20,Writing,2012,Percent,0.73839
ACADEMY 20,Reading,2012,Percent,0.83352
ACADEMY 20,Math,2013,Percent,0.6613
ACADEMY 20,Math,2014,Percent,0.68496
ACADEMY 20,Reading,2013,Percent,0.85286
ACADEMY 20,Reading,2014,Percent,0.827
ACADEMY 20,Writing,2013,Percent,0.75069
ACADEMY 20,Writing,2014,Percent,0.74789
ADAMS COUNTY 14,Math,2008,Percent,0.22
ADAMS COUNTY 14,Math,2009,Percent,0.3
ADAMS COUNTY 14,Math,2010,Percent,0.42
ADAMS COUNTY 14,Reading,2008,Percent,0.426
ADAMS COUNTY 14,Reading,2009,Percent,0.398
ADAMS COUNTY 14,Reading,2010,Percent,0.514
ADAMS COUNTY 14,Writing,2008,Percent,0.444
ADAMS COUNTY 14,Writing,2009,Percent,0.471
ADAMS COUNTY 14,Writing,2010,Percent,0.376
ADAMS COUNTY 14,Reading,2011,Percent,0.4879
ADAMS COUNTY 14,Math,2011,Percent,0.37702
ADAMS COUNTY 14,Math,2012,Percent,0.29817
ADAMS COUNTY 14,Writing,2011,Percent,0.33065
ADAMS COUNTY 14,Writing,2012,Percent,0.28024
ADAMS COUNTY 14,Reading,2012,Percent,0.32863
ADAMS COUNTY 14,Math,2013,Percent,0.30625
ADAMS COUNTY 14,Math,2014,Percent,0.29623
ADAMS COUNTY 14,Reading,2013,Percent,0.44792
ADAMS COUNTY 14,Reading,2014,Percent,0.42105
ADAMS COUNTY 14,Writing,2013,Percent,0.38125
ADAMS COUNTY 14,Writing,2014,Percent,0.35714
ADAMS-ARAPAHOE 28J,Math,2008,Percent,0.32
ADAMS-ARAPAHOE 28J,Math,2009,Percent,0.338
ADAMS-ARAPAHOE 28J,Math,2010,Percent,0.369
ADAMS-ARAPAHOE 28J,Reading,2008,Percent,0.456
ADAMS-ARAPAHOE 28J,Reading,2009,Percent,0.437
ADAMS-ARAPAHOE 28J,Reading,2010,Percent,0.496
ADAMS-ARAPAHOE 28J,Writing,2008,Percent,0.265
ADAMS-ARAPAHOE 28J,Writing,2009,Percent,0.302
ADAMS-ARAPAHOE 28J,Writing,2010,Percent,0.326
ADAMS-ARAPAHOE 28J,Reading,2011,Percent,0.47932
ADAMS-ARAPAHOE 28J,Math,2011,Percent,0.34556
ADAMS-ARAPAHOE 28J,Math,2012,Percent,0.33157
ADAMS-ARAPAHOE 28J,Writing,2011,Percent,0.30448
ADAMS-ARAPAHOE 28J,Writing,2012,Percent,0.33876
ADAMS-ARAPAHOE 28J,Reading,2012,Percent,0.4401
ADAMS-ARAPAHOE 28J,Math,2013,Percent,0.32687
ADAMS-ARAPAHOE 28J,Math,2014,Percent,0.28971
ADAMS-ARAPAHOE 28J,Reading,2013,Percent,0.47095
ADAMS-ARAPAHOE 28J,Reading,2014,Percent,0.404
ADAMS-ARAPAHOE 28J,Writing,2013,Percent,0.39721
ADAMS-ARAPAHOE 28J,Writing,2014,Percent,0.35091
AGATE 300,Math,2008,Percent,N/A
AGATE 300,Math,2009,Percent,N/A
AGATE 300,Math,2010,Percent,N/A
AGATE 300,Reading,2008,Percent,N/A
AGATE 300,Reading,2009,Percent,N/A
AGATE 300,Reading,2010,Percent,N/A
AGATE 300,Writing,2008,Percent,0.296
AGATE 300,Writing,2009,Percent,0.291
AGATE 300,Writing,2010,Percent,N/A
AGATE 300,Reading,2011,Percent,N/A
AGATE 300,Math,2011,Percent,N/A
AGATE 300,Math,2012,Percent,N/A
AGATE 300,Writing,2011,Percent,N/A
AGATE 300,Writing,2012,Percent,N/A
AGATE 300,Reading,2012,Percent,N/A
AGATE 300,Math,2013,Percent,N/A
AGATE 300,Math,2014,Percent,N/A
AGATE 300,Reading,2013,Percent,N/A
AGATE 300,Reading,2014,Percent,N/A
AGATE 300,Writing,2013,Percent,N/A
AGATE 300,Writing,2014,Percent,N/A
AGUILAR REORGANIZED 6,Math,2008,Percent,0.15
AGUILAR REORGANIZED 6,Math,2009,Percent,N/A
AGUILAR REORGANIZED 6,Math,2010,Percent,N/A
