Location,TimeFrame,DataFormat,Data
Colorado,2010,Percent,0.724
Colorado,2011,Percent,0.739
Colorado,2012,Percent,0.75354
Colorado,2013,Percent,0.769
Colorado,2014,Percent,0.773
ACADEMY 20,2010,Percent,0.895
ACADEMY 20,2011,Percent,0.895
ACADEMY 20,2012,Percent,0.88983
ACADEMY 20,2013,Percent,0.91373
ACADEMY 20,2014,Percent,0.898
ADAMS COUNTY 14,2010,Percent,0.57
ADAMS COUNTY 14,2011,Percent,0.608
ADAMS COUNTY 14,2012,Percent,0.63372
ADAMS COUNTY 14,2013,Percent,0.59351
ADAMS COUNTY 14,2014,Percent,0.659
ADAMS-ARAPAHOE 28J,2010,Percent,0.455
ADAMS-ARAPAHOE 28J,2011,Percent,0.485
ADAMS-ARAPAHOE 28J,2012,Percent,0.47984
ADAMS-ARAPAHOE 28J,2013,Percent,0.52627
ADAMS-ARAPAHOE 28J,2014,Percent,0.559
AGATE 300,2010,Percent,1
AGATE 300,2011,Percent,0.8
AGATE 300,2012,Percent,0
AGATE 300,2013,Percent,0
AGATE 300,2014,Percent,0
AGUILAR REORGANIZED 6,2010,Percent,0.714
AGUILAR REORGANIZED 6,2011,Percent,0.353
AGUILAR REORGANIZED 6,2012,Percent,0.53846
AGUILAR REORGANIZED 6,2013,Percent,0.5
AGUILAR REORGANIZED 6,2014,Percent,0.5
AKRON R-1,2010,Percent,1
AKRON R-1,2011,Percent,0.941
AKRON R-1,2012,Percent,0.96774
AKRON R-1,2013,Percent,0.86667
AKRON R-1,2014,Percent,0.958
ALAMOSA RE-11J,2010,Percent,0.735
ALAMOSA RE-11J,2011,Percent,0.772
ALAMOSA RE-11J,2012,Percent,0.72956
ALAMOSA RE-11J,2013,Percent,0.81295
ALAMOSA RE-11J,2014,Percent,0.745
ARCHULETA COUNTY 50 JT,2010,Percent,0.798
ARCHULETA COUNTY 50 JT,2011,Percent,0.818
ARCHULETA COUNTY 50 JT,2012,Percent,0.78333
